,trade_id,ticker,count,created_time,yes_price,no_price,taker_side
0,9052b720-2f60-4216-bda1-b75b53b500c2,KXGDPYEAR-25-T5.0,841,2025-07-07T23:15:31.762512Z,1,99,yes
1,55404de6-a597-4436-ab1e-9ed29772c48a,KXGDPYEAR-25-T5.0,4,2025-04-22T12:30:43.166295Z,1,99,yes
2,512b7bf0-9734-4896-937c-2f934eeaac62,KXGDPYEAR-25-T5.0,100,2025-04-09T02:20:27.997765Z,1,99,yes
3,af3624bd-9952-43d8-bf77-bc007bb22a0e,KXGDPYEAR-25-T5.0,100,2025-02-25T03:55:11.805387Z,3,97,yes
4,6c74005f-e78a-48ff-ac3d-ce95eab67f3a,KXGDPYEAR-25-T5.0,79,2025-02-21T19:43:43.083531Z,3,97,yes
5,85c2e14a-2d30-4bb7-a87f-73ac19f05a4c,KXGDPYEAR-25-T5.0,4,2025-02-20T03:41:11.773364Z,3,97,yes
6,78e06777-6bc1-44fb-88a0-f33d99024d92,KXGDPYEAR-25-T5.0,17,2025-02-20T03:40:28.145787Z,3,97,yes
7,f5143237-2ea7-4cc0-841b-70f4e2ff8c38,KXGDPYEAR-25-T5.0,502,2025-02-14T19:44:33.206712Z,3,97,no
8,f0e0abc2-4a74-4a53-9ef2-3ace80dd6d7a,KXGDPYEAR-25-T5.0,55,2025-02-14T19:44:33.206712Z,3,97,no
9,a6a50c99-e4e0-4b0d-8278-3d5e09cc0c85,KXGDPYEAR-25-T5.0,374,2025-02-14T19:44:33.206712Z,3,97,no
10,a531a492-a8b1-4ab9-a800-e663be704a5f,KXGDPYEAR-25-T5.0,10,2025-02-10T02:41:48.72192Z,3,97,no
11,ef9e7495-f330-497c-bf81-46fa60240488,KXGDPYEAR-25-T5.0,614,2025-02-02T03:57:43.080633Z,3,97,no
12,4aba6f18-18f5-4d34-9c1d-9c4731866aa6,KXGDPYEAR-25-T5.0,8899,2025-02-02T03:57:43.080633Z,3,97,no
13,d2ea0de5-c337-412e-a692-33336b78de0a,KXGDPYEAR-25-T5.0,500,2025-02-01T13:09:17.335805Z,4,96,no
