,trade_id,ticker,count,created_time,yes_price,no_price,taker_side
0,bd9c3979-94af-43ff-9b25-82e6b0d14996,KXACPI-2025-6.0,30,2025-07-30T21:34:27.003481Z,1,99,no
1,c7e365e2-50c8-4073-83d9-7574d34db4c8,KXACPI-2025-6.0,18,2025-07-07T23:18:00.961444Z,4,96,yes
2,11aaf5da-fa91-4027-94a5-fa66cb9f8cb3,KXACPI-2025-6.0,10,2025-07-03T21:21:58.14496Z,5,95,no
3,30026fe1-f3c3-4e24-ad6f-300b100dbdd0,KXACPI-2025-6.0,1,2025-07-01T15:21:00.084942Z,6,94,yes
4,b8f1dd67-b368-445a-a6d7-f258053daec0,KXACPI-2025-6.0,200,2025-06-27T00:02:16.019691Z,6,94,no
5,4064c4bf-b8d3-4fba-b167-fcb28189779f,KXACPI-2025-6.0,400,2025-06-27T00:02:16.019691Z,5,95,no
6,3773e38c-6875-4377-97bc-dba39d4abe79,KXACPI-2025-6.0,315,2025-06-27T00:02:16.019691Z,6,94,no
7,fd698621-f52c-485a-90b8-a44c4123e3bf,KXACPI-2025-6.0,65,2025-06-24T04:53:08.407621Z,6,94,no
8,38425d34-a689-4810-9804-7e0d0f2f2db8,KXACPI-2025-6.0,185,2025-06-24T04:53:08.407621Z,6,94,no
9,0f845991-6409-407d-9db8-8c4f18a333da,KXACPI-2025-6.0,67,2025-06-22T23:07:32.245596Z,7,93,yes
10,5d25c5a0-60bb-4f22-8ae8-5531b1b43d44,KXACPI-2025-6.0,5,2025-06-22T00:29:01.914057Z,6,94,yes
11,28e85982-72d3-475b-b9ba-c29d2bdda530,KXACPI-2025-6.0,430,2025-06-22T00:29:01.914057Z,6,94,yes
12,a9c0681f-09e3-4340-897d-6e2a4023ca1b,KXACPI-2025-6.0,500,2025-06-22T00:28:54.07978Z,6,94,yes
13,e8483d22-6fc8-4d89-b16b-0a65d10fd82f,KXACPI-2025-6.0,300,2025-06-13T05:56:47.805387Z,3,97,yes
14,c0bdddd4-a910-4b7b-843f-ce943b648172,KXACPI-2025-6.0,5,2025-06-13T05:56:47.805387Z,3,97,yes
15,e655d823-d167-4036-b4c7-d5083e70569b,KXACPI-2025-6.0,300,2025-06-13T05:15:54.178138Z,2,98,yes
16,cfaa09b8-7498-41da-b641-d2449e879a71,KXACPI-2025-6.0,30,2025-05-26T21:15:44.100823Z,3,97,yes
17,2cacaa67-6405-48a0-8037-aeff4477d0a7,KXACPI-2025-6.0,4,2025-05-23T18:10:36.43972Z,7,93,no
18,d6984b89-663e-495d-b330-a8ae7e263acd,KXACPI-2025-6.0,30,2025-05-23T18:10:36.309258Z,9,91,no
19,dec2a850-0ea3-4e0a-b71c-860580a8dbd6,KXACPI-2025-6.0,250,2025-05-23T15:41:48.905422Z,10,90,yes
20,ae01fbda-a6e5-4a78-a58e-b5a021f9b1aa,KXACPI-2025-6.0,77,2025-05-23T15:41:48.905422Z,13,87,yes
21,72ee59aa-c43e-4efb-a8c1-e418af007bab,KXACPI-2025-6.0,106,2025-05-23T15:41:48.905422Z,9,91,yes
22,1b87e5ba-38d5-4392-8e46-d9e5a1e05041,KXACPI-2025-6.0,20,2025-05-23T15:41:48.905422Z,10,90,yes
23,1b693385-e88d-46f6-85d7-e94cecab004e,KXACPI-2025-6.0,4,2025-05-23T15:41:48.905422Z,11,89,yes
24,1c6d93e6-e0d6-4cc3-b551-6871565ba91b,KXACPI-2025-6.0,1,2025-05-15T17:57:10.927977Z,8,92,no
25,6639966e-7fd3-453c-8c7a-771f355013fa,KXACPI-2025-6.0,94,2025-05-14T03:17:47.56259Z,8,92,no
26,bf7cbad7-de82-4f73-ad3a-43f70484b6eb,KXACPI-2025-6.0,106,2025-05-12T12:06:16.597822Z,8,92,no
27,392bef59-e428-4cad-81e3-630f8b8f1d5d,KXACPI-2025-6.0,200,2025-05-09T05:55:03.402796Z,9,91,no
28,0edddbf0-6bf5-40b5-bf68-f0624b245044,KXACPI-2025-6.0,94,2025-04-24T23:33:47.146983Z,12,88,yes
29,2f9bcc42-2e5c-4490-a530-c53418a7ad04,KXACPI-2025-6.0,50,2025-04-19T15:53:45.127372Z,9,91,no
30,d39b4179-8d7e-4187-ad12-75e08281a62b,KXACPI-2025-6.0,3,2025-04-13T05:19:54.994926Z,13,87,yes
31,358f6c9e-d30a-4172-9f33-34e416137431,KXACPI-2025-6.0,997,2025-04-13T05:19:54.994926Z,13,87,yes
32,fff9ac68-9e8c-4c4f-bee4-96ee5602a508,KXACPI-2025-6.0,123,2025-04-09T06:28:55.229095Z,12,88,yes
33,e1436398-e6e9-4839-af32-a455e1746e27,KXACPI-2025-6.0,560,2025-04-09T06:28:55.229095Z,11,89,yes
34,d40ff3af-82fe-43ad-b8a9-191b65d3adb8,KXACPI-2025-6.0,11,2025-04-09T06:28:55.229095Z,11,89,yes
35,7b23dc0c-a10c-4904-b5c3-c4cd6485e63b,KXACPI-2025-6.0,150,2025-04-09T06:28:55.229095Z,11,89,yes
36,95570687-399d-49a4-8b28-0206ae355f02,KXACPI-2025-6.0,50,2025-04-08T14:55:27.742758Z,9,91,no
37,4b19f79a-59bc-4d3d-913f-ebe8796edd55,KXACPI-2025-6.0,40,2025-04-03T13:25:16.038014Z,8,92,no
