era,thresh,k_n,k_same,k_zero,pm_n,pm_same,pm_zero,sd_diff,sd_lo,sd_hi,zd_diff,zd_lo,zd_hi,sd_survives,zd_survives
pooled,3c,219,54.794520547945204,18.72146118721461,266,39.473684210526315,47.368421052631575,15.32083633741889,3.419586489898989,26.090597192159702,-28.646959865416964,-39.49763740723562,-18.270436078471796,True,True
pooled,5c,110,53.63636363636364,19.090909090909093,79,51.89873417721519,32.91139240506329,1.737629459148451,-21.547738169689385,13.669441838649158,-13.820483314154195,-27.98153142589118,4.193037314988534,False,False
2025_lychee,3c,183,51.91256830601093,19.12568306010929,226,37.610619469026545,48.67256637168141,14.301948836984387,1.8085673241129594,26.398780622691653,-29.546883311572124,-42.30775731545317,-18.33034743974409,True,True
2025_lychee,5c,100,52.0,20.0,62,51.61290322580645,30.64516129032258,0.3870967741935516,-24.027970679012338,15.655613425925923,-10.64516129032258,-26.670679012345683,9.653163580246916,False,False
2026_collector,3c,36,69.44444444444444,16.666666666666664,40,50.0,40.0,19.444444444444443,-13.935688405797096,34.83939520624304,-23.333333333333336,-44.497979375696765,0.36336399108138306,False,False
2026_collector,5c,10,70.0,10.0,17,52.94117647058824,41.17647058823529,17.05882352941176,-38.521825396825406,45.23809523809524,-31.17647058823529,-58.333333333333336,-1.5873015873015872,False,True
