date,contract_preamble,expiry_date,mean,median,mode,variance,skewness,kurtosis
2022-01-01,FED-22JAN,2022-01-27,0.15353535353535352,0.15353535353535352,0.15,3.44481443348906e-4,0.9999999999999986,22.79854846671653
2022-01-01,FED-22JUN,2022-06-16,0.3547979797979798,0.3497191011235955,0.5,0.018941648399101722,0.8383838383838383,-1.78760647229216
2022-01-01,FED-22MAR,2022-03-17,0.20303030303030303,0.20303030303030303,0.25,0.0025159770338833705,-1.0000000000000007,-2.0054469124423964
2022-01-01,FED-22MAY,2022-05-05,0.23232323232323232,0.23232323232323232,0.25,0.0014699077294730804,-1,0.7948166345311121
2022-01-02,FED-22JAN,2022-01-27,0.15353535353535352,0.15353535353535352,0.15,3.44481443348906e-4,0.9999999999999986,22.79854846671653
2022-01-02,FED-22JUN,2022-06-16,0.3547979797979798,0.3497191011235955,0.5,0.018941648399101722,0.8383838383838383,-1.78760647229216
2022-01-02,FED-22MAR,2022-03-17,0.20303030303030303,0.20303030303030303,0.25,0.0025159770338833705,-1.0000000000000007,-2.0054469124423964
2022-01-02,FED-22MAY,2022-05-05,0.23232323232323232,0.23232323232323232,0.25,0.0014699077294730804,-1,0.7948166345311121
2022-01-03,FED-22JAN,2022-01-27,0.15353535353535352,0.15353535353535352,0.15,3.44481443348906e-4,0.9999999999999986,22.79854846671653
2022-01-03,FED-22JUN,2022-06-16,0.3547979797979798,0.3497191011235955,0.5,0.018941648399101722,0.8383838383838383,-1.78760647229216
2022-01-03,FED-22MAR,2022-03-17,0.20404040404040405,0.20404040404040405,0.25,0.002508762762818472,-1.0000000000000004,-1.9941317346205194
2022-01-03,FED-22MAY,2022-05-05,0.2318181818181818,0.2318181818181818,0.25,0.001502629601803156,-1.0000000000000002,0.6481499999999993
2022-01-04,FED-22JAN,2022-01-27,0.15303030303030302,0.15303030303030302,0.15,2.9681572381296906e-4,0.9999999999999971,27.413728125000013
2022-01-04,FED-22JUN,2022-06-16,0.34848484848484845,0.34269662921348315,0.25,0.018643737652002116,0.8297872340425531,-1.7646551631766543
2022-01-04,FED-22MAR,2022-03-17,0.20353535353535354,0.20353535353535354,0.25,0.0025126275508889533,-1.0000000000000004,-2.0002015176374073
2022-01-04,FED-22MAY,2022-05-05,0.23484848484848483,0.23484848484848486,0.25,0.0012985687916817396,-1.0000000000000009,1.6834778571428544
2022-01-05,FED-22JAN,2022-01-27,0.15252525252525254,0.1525252525252525,0.15,2.48634699200968e-4,1.0000000000000064,33.87715119170983
2022-01-05,FED-22JUN,2022-06-16,0.35555555555555557,0.3516483516483517,0.25,0.018257774150030045,0.8672199170124478,-1.8005813859075046
2022-01-05,FED-22MAR,2022-03-17,0.20959595959595959,0.2095959595959596,0.25,0.002432239959022941,-0.9999999999999994,-1.869977923728814
2022-01-05,FED-22MAY,2022-05-05,0.23636363636363636,0.2363636363636364,0.25,0.001189581768094165,-1.0000000000000004,2.3819526315789457
2022-01-06,FED-22JAN,2022-01-27,0.15252525252525254,0.1525252525252525,0.15,2.48634699200968e-4,1.0000000000000064,33.87715119170983
2022-01-06,FED-22JUN,2022-06-16,0.3921717171717172,0.3912429378531074,0.5,0.01923459933484421,-1,-1.478364787780548
2022-01-06,FED-22MAR,2022-03-17,0.21313131313131312,0.21313131313131312,0.25,0.0023510794095428318,-1.0000000000000002,-1.7294681753424657
2022-01-06,FED-22MAY,2022-05-05,0.23585858585858585,0.23585858585858585,0.25,0.001226426081032754,-1.0000000000000004,2.131935378151261
2022-01-07,FED-22JAN,2022-01-27,0.15252525252525254,0.1525252525252525,0.15,2.48634699200968e-4,1.0000000000000064,33.87715119170983
2022-01-07,FED-22JUN,2022-06-16,0.3946969696969697,0.3942307692307692,0.5,0.018247790114181303,-0.9999999999999998,-1.4986918228220658
2022-01-07,FED-22MAR,2022-03-17,0.2171717171717172,0.21717171717171718,0.25,0.0022274061912874285,-0.9999999999999996,-1.4956683747831092
2022-01-07,FED-22MAY,2022-05-05,0.23686868686868684,0.23686868686868684,0.25,0.0011522221500795118,-1.0000000000000022,2.6517931127012444
2022-01-08,FED-22JAN,2022-01-27,0.15252525252525254,0.1525252525252525,0.15,2.48634699200968e-4,1.0000000000000064,33.87715119170983
2022-01-08,FED-22JUN,2022-06-16,0.39570707070707073,0.3953804347826087,0.5,0.017849459290383687,-0.9999999999999999,-1.5140525395878752
2022-01-08,FED-22MAR,2022-03-17,0.22474747474747478,0.22474747474747475,0.25,0.001906628781437475,-0.9999999999999998,-0.7478891351351318
2022-01-08,FED-22MAY,2022-05-05,0.23939393939393938,0.2393939393939394,0.25,9.576944838652827e-4,-1.0000000000000013,4.397025907990312
2022-01-09,FED-22JAN,2022-01-27,0.15252525252525254,0.1525252525252525,0.15,2.48634699200968e-4,1.0000000000000064,33.87715119170983
2022-01-09,FED-22JUN,2022-06-16,0.39570707070707073,0.3953804347826087,0.5,0.017849459290383687,-0.9999999999999999,-1.5140525395878752
