date,contract_preamble,expiry_date,mean,median,mode,variance,skewness,kurtosis
2022-01-01,U3-21DEC,2022-01-08,3.9732323232323234,3.973232323232323,4,0.001980059754776624,-0.999999999999991,-0.9404508913467575
2022-01-02,U3-21DEC,2022-01-08,3.9732323232323234,3.973232323232323,4,0.001980059754776624,-0.999999999999991,-0.9404508913467575
2022-01-03,U3-21DEC,2022-01-08,3.972727272727273,3.9727272727272727,4,0.0020035061357375444,-1.0000000000000016,-0.9989624999999633
2022-01-04,U3-21DEC,2022-01-08,3.9732323232323234,3.973232323232323,4,0.001980059754776624,-0.999999999999991,-0.9404508913467575
2022-01-05,U3-21DEC,2022-01-08,3.9742424242424246,3.974242424242424,4,0.0019316210776265913,-0.9999999999999861,-0.8150711884753554
2022-01-06,U3-21DEC,2022-01-08,3.9747474747474754,3.974747474747475,4,0.001906628781437478,-0.9999999999999923,-0.7478891351350696
2022-01-07,U3-21DEC,2022-01-08,3.9691919191919194,3.9691919191919194,4,0.00215320226033419,-0.9999999999999928,-1.342496912767724
2022-01-08,U3-21DEC,2022-01-08,3.9691919191919194,3.9691919191919194,4,0.00215320226033419,-0.9999999999999928,-1.342496912767724
2022-01-09,U3-22JAN,2022-02-05,3.665151515151515,3.6700000000000004,3.8,0.012292344936973022,-0.3689839572192545,-1.3455916704379387
2022-01-10,U3-22JAN,2022-02-05,3.665151515151515,3.6700000000000004,3.8,0.012292344936973022,-0.3689839572192545,-1.3455916704379387
2022-01-11,U3-22JAN,2022-02-05,3.665151515151515,3.6700000000000004,3.8,0.012292344936973022,-0.3689839572192545,-1.3455916704379387
2022-01-12,U3-22JAN,2022-02-05,3.667676767676768,3.6714285714285717,3.8,0.011698455836809054,-0.3516483516483541,-1.2960162096444685
2022-01-13,U3-22JAN,2022-02-05,3.6702020202020207,3.676842105263158,3.8,0.012622140185654098,-0.30890052356021097,-1.3814675930644045
2022-01-14,U3-22JAN,2022-02-05,3.671717171717172,3.6806451612903226,3.8,0.012762045513805524,-0.2947368421052653,-1.3733266694128268
2022-01-15,U3-22JAN,2022-02-05,3.672222222222223,3.6808510638297873,3.8,0.012637599337936024,-0.2910052910052902,-1.363674097426794
2022-01-16,U3-22JAN,2022-02-05,3.672222222222223,3.6808510638297873,3.8,0.012637599337936024,-0.2910052910052902,-1.363674097426794
2022-01-17,U3-22JAN,2022-02-05,3.6782828282828284,3.6895833333333337,3.8,0.012124355482176098,-0.23756906077348175,-1.2745084422849264
2022-01-18,U3-22JAN,2022-02-05,3.6782828282828284,3.6895833333333337,3.8,0.012124355482176098,-0.23756906077348175,-1.2745084422849264
2022-01-19,U3-22JAN,2022-02-05,3.6792929292929295,3.6914893617021276,3.8,0.012269671513626195,-0.22404371584699434,-1.2890145619914442
2022-01-20,U3-22JAN,2022-02-05,3.683333333333333,3.7,3.8,0.012830323436384026,-0.1727748691099472,-1.339045263607224
2022-01-21,U3-22JAN,2022-02-05,3.686363636363636,3.704166666666667,3.8,0.012923078350075575,-0.1398963730569953,-1.3366781326033366
