date,contract_preamble,mean,median,variance,skewness,kurtosis
2022-01-01,CPI-21DEC,0.588051948051948,0.5745819397993311,0.008723701852391344,-0.16546762589928035,-0.3011376626609992
2022-01-02,CPI-21DEC,0.5904040404040404,0.577,0.008936678281643082,-0.13013698630136844,-0.46329030324881204
2022-01-03,CPI-21DEC,0.596774193548387,0.5838235294117647,0.009221595069669993,-0.04347826086956608,-0.6312012711218449
2022-01-04,CPI-21DEC,0.5991891891891893,0.5865384615384615,0.009581645527591474,-0.01045296167247376,-0.8178056280248867
2022-01-05,CPI-21DEC,0.5985915492957745,0.5866449511400652,0.009103132094602041,-0.019108280254778554,-0.6886152870685716
2022-01-06,CPI-21DEC,0.5984162895927603,0.5858490566037735,0.009298622886592011,-0.02114803625377636,-0.7036228661892947
2022-01-07,CPI-21DEC,0.6006622516556291,0.5877742946708463,0.00965460638282006,0.00859598853868228,-0.7966514511472136
2022-01-08,CPI-21DEC,0.5847411444141689,0.573170731707317,0.008021771966860282,-0.21705426356589158,-0.306752613760521
2022-01-09,CPI-21DEC,0.5783475783475782,0.5687719298245614,0.007008666711104189,-0.3247863247863249,-0.16642095439989335
2022-01-10,CPI-21DEC,0.5807692307692309,0.5691176470588235,0.007784950092642401,-0.27659574468085013,-0.08131382620901562
2022-01-11,CPI-21DEC,0.5810725552050473,0.5716,0.007221856837237625,-0.27777777777777773,-0.43256112364997046
2022-01-12,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-13,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-14,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-14,CPI-22JAN,0.5026315789473684,0.48598484848484846,0.010891463107529586,0.03164556962025327,-0.9036671769855333
2022-01-15,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-15,CPI-22JAN,0.4997347480106101,0.4838345864661654,0.010476042855078799,-0.003257328990228754,-0.8303709339979632
2022-01-16,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-16,CPI-22JAN,0.5043814432989691,0.48726591760299626,0.011148993924793687,0.05198776758409769,-0.948660414189761
2022-01-17,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-17,CPI-22JAN,0.5005649717514125,0.4832669322709163,0.010842569781571982,0.006849315068493494,-0.8324535059533558
2022-01-18,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-18,CPI-22JAN,0.4991573033707866,0.48196078431372547,0.010696138891758128,-0.0103092783505142,-0.7859621579604865
2022-01-19,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-19,CPI-22JAN,0.4991620111731844,0.4821011673151751,0.010636387910817542,-0.010309278350515285,-0.7736483926334645
2022-01-20,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-20,CPI-22JAN,0.4988919667590028,0.4819230769230769,0.010575440797738046,-0.013698630136985624,-0.7571429882097185
2022-01-21,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-21,CPI-22JAN,0.4918079096045197,0.4765151515151515,0.009662280824782018,-0.10545454545454644,-0.5610348612038112
2022-01-22,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-22,CPI-22JAN,0.486217008797654,0.4714828897338403,0.009138955364048023,-0.18146718146718166,-0.3552248641335751
2022-01-23,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-23,CPI-22JAN,0.4859649122807017,0.47121212121212125,0.009134123630891862,-0.18461538461538599,-0.34939631733381527
2022-01-24,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-24,CPI-22JAN,0.4850574712643678,0.470479704797048,0.00900469885804804,-0.19847328244274953,-0.28744177183513475
2022-01-25,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-25,CPI-22JAN,0.48457142857142854,0.47007299270072994,0.008937043908472476,-0.2061068702290073,-0.24849220004887584
2022-01-26,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-26,CPI-22JAN,0.4857549857549857,0.4713235294117647,0.009003927965624702,-0.18939393939393925,-0.3229956555135103
2022-01-27,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-27,CPI-22JAN,0.47919075144508666,0.466304347826087,0.008203927746845984,-0.28346456692913374,-0.1318878444320175
2022-01-28,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-28,CPI-22JAN,0.48023255813953486,0.4673992673992674,0.008238141283030407,-0.26984126984127105,-0.17636161528710126
2022-01-29,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-29,CPI-22JAN,0.47821229050279335,0.46550522648083625,0.008097894774340576,-0.29770992366412224,-0.09493411404872631
2022-01-30,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-30,CPI-22JAN,0.47833333333333333,0.465625,0.0081116722783389425,-0.2954545454545456,-0.11491918397737377
2022-01-31,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-01-31,CPI-22JAN,0.4778711484593838,0.4649122807017544,0.008191670409498714,-0.2981132075471703,-0.1270827474692986
2022-02-01,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-01,CPI-22JAN,0.47737430167597766,0.4647058823529412,0.008032085784028604,-0.3103448275862077,-0.02989905245453084
2022-02-02,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-02,CPI-22JAN,0.4772471910112359,0.46445993031358884,0.008074288523411105,-0.31034482758620674,-0.039055705917407924
2022-02-03,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-03,CPI-22JAN,0.4795518207282914,0.46596491228070175,0.008433716128558769,-0.2754716981132074,-0.10259475863473888
2022-02-04,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-04,CPI-22JAN,0.48011204481792724,0.4666666666666667,0.008399953366175146,-0.26996197718631165,-0.10514585066561288
2022-02-05,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-05,CPI-22JAN,0.48352272727272727,0.46945454545454546,0.008793709303781615,-0.21969696969696978,-0.26931984619933447
2022-02-06,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-06,CPI-22JAN,0.4865030674846625,0.4724409448818898,0.008863523260000354,-0.1833333333333331,-0.28221762508378934
2022-02-07,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-07,CPI-22JAN,0.48588588588588594,0.47203065134099614,0.00874712186023497,-0.1934156378600824,-0.23924184959743178
2022-02-08,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-08,CPI-22JAN,0.49140401146131807,0.4750943396226415,0.009823773651656835,-0.11111111111111163,-0.46722176890340794
2022-02-09,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-09,CPI-22JAN,0.48835978835978844,0.4721254355400697,0.00975036895083926,-0.1476510067114084,-0.462301012743664
2022-02-10,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-10,CPI-22JAN,0.4799392097264438,0.4647727272727272,0.008926955832472223,-0.2639999999999985,-0.03702196102655586
2022-02-11,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-11,CPI-22FEB,0.4975369458128079,0.4813148788927336,0.010443192879068534,-0.030120481927711495,-0.7990366067696568
2022-02-11,CPI-22JAN,0.479874213836478,0.4659919028340081,0.008675417599115234,-0.2601626016260163,-0.33001763169979137
2022-02-12,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-12,CPI-22FEB,0.4896551724137931,0.4754152823920266,0.009346050963173433,-0.1329113924050629,-0.6022457591183006
2022-02-12,CPI-22JAN,0.479874213836478,0.4659919028340081,0.008675417599115234,-0.2601626016260163,-0.33001763169979137
2022-02-13,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-13,CPI-22FEB,0.48992628992628995,0.47582781456953643,0.009303595633727416,-0.13015873015873064,-0.5962864903963343
2022-02-13,CPI-22JAN,0.479874213836478,0.4659919028340081,0.008675417599115234,-0.2601626016260163,-0.33001763169979137
2022-02-14,CPI-21DEC,0.5874149659863945,0.5738738738738739,0.008944669051568953,-0.16591928251121082,-0.5054750160405246
2022-02-14,CPI-22FEB,0.4888619854721549,0.47435064935064936,0.00936426035945878,-0.14285714285714268,-0.5689872631438635
2022-02-14,CPI-22JAN,0.479874213836478,0.4659919028340081,0.008675417599115234,-0.2601626016260163,-0.33001763169979137
